"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2016215438","4/7/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/7/2016 12:00:00 AM","970 S ONEIDA ST                                   ","3166714.00","1679991.00","3","322","5707    ","CRIMINAL TRESPASSING","All Other Crimes","INDUSTRY","","","",""
"201621833","1/7/2016 12:00:00 AM","1/1/1900 12:00:00 AM","1/11/2016 12:00:00 AM","754 S BROADWAY ST                                 ","3144320.00","1681252.00","3","312","3562    ","DRUG - MARIJUANA POSSESS","Drug Offenses","INDUSTRY","","","",""
"2016223154","4/10/2016 12:00:00 AM","4/10/2016 12:00:00 AM","4/10/2016 12:00:00 AM","815 S ONEIDA ST                                   ","3166486.00","1680900.00","3","322","2204    ","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","","","",""
"2016226473","4/7/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/12/2016 12:00:00 AM","4495 N WASHINGTON ST                              ","3146216.00","1708700.00","1","112","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2016233567","4/14/2016 12:00:00 AM","4/15/2016 12:00:00 AM","4/15/2016 12:00:00 AM","6666 E STAPLETON S DR                             ","3165497.00","1708664.00","2","221","2205    ","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","","","",""
"2016235609","4/16/2016 12:00:00 AM","4/16/2016 12:00:00 AM","4/16/2016 12:00:00 AM","432 S BROADWAY ST                                 ","3144200.00","1683431.00","3","312","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016238291","4/17/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/17/2016 12:00:00 AM","5227 N MONROE ST                                  ","3155817.00","1714011.00","2","212","2308    ","THEFT - FROM BLDG","Larceny","INDUSTRY","","","",""
"2016243893","4/19/2016 12:00:00 AM","4/20/2016 12:00:00 AM","4/20/2016 12:00:00 AM","1015 W EVANS AVE                                  ","3140803.00","1672548.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016246875","4/20/2016 12:00:00 AM","4/21/2016 12:00:00 AM","4/21/2016 12:00:00 AM","4500 N WASHINGTON ST                              ","3146519.00","1708969.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016247193","4/21/2016 12:00:00 AM","1/1/1900 12:00:00 AM","4/21/2016 12:00:00 AM","3900 N ELATI ST                                   ","3142717.00","1706283.00","1","112","1208    ","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2016255816","4/25/2016 12:00:00 AM","4/25/2016 12:00:00 AM","4/25/2016 12:00:00 AM","4571 N IVY ST                                     ","3162941.00","1709422.00","2","221","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
